id	type	typePara	grade	school	group	sequence	name	des	icon	itemList	limitType	limitPara	levelLowerLimit	levelUpperLimit	moneyType	price	priceShow	PrePriceShow	priceStepValue	timeType	activityID	startTime	endTime	specialEndTime	isShowTime	sloganType	startTimeTips	startTimeWord	endTimeTips	groupId	batch	rechargeShopId	rechargeShopId1	tabshow	herocondition	rechargecondition	firstCharge	followupCharge	autoOpenGift	extraShowItemId	OpenServiceActivity	
10101001	1	0	1	1	1	1	钞票	日常所需的基础货币，具有多样的用途。	0	1120001,20000	3	1	1	80	1120005	5	0	0	0	0	0	2018-11-08 00:00:00	2099-11-08 00:00:00	0,0,0,691200	0	0	0	0	0	0	0	0	0	0	0	0	 	 	0	0	0
10101002	1	0	1	1	1	2	钞票	日常所需的基础货币，具有多样的用途。	0	1120001,30000	3	1	1	80	1120005	10	0	0	0	0	0	2018-11-08 00:00:00	2099-11-08 00:00:00	0,0,0,691200	0	0	0	0	0	0	0	0	0	0	0	0	 	 	0	0	0
10101003	1	0	1	1	1	3	钞票	日常所需的基础货币，具有多样的用途。	0	1120001,40000	3	1	1	80	1120005	12	0	0	0	0	0	2018-11-08 00:00:00	2099-11-08 00:00:00	0,0,0,691200	0	0	0	0	0	0	0	0	0	0	0	0	 	 	0	0	0
10101004	1	0	1	1	1	4	钞票	日常所需的基础货币，具有多样的用途。	0	1120001,50000	3	1	1	80	1120005	15	0	0	0	0	0	2018-11-08 00:00:00	2099-11-08 00:00:00	0,0,0,691200	0	0	0	0	0	0	0	0	0	0	0	0	 	 	0	0	0
10101005	1	0	1	1	1	5	钞票	日常所需的基础货币，具有多样的用途。	0	1120001,60000	3	1	1	80	1120005	20	0	0	0	0	0	2018-11-08 00:00:00	2099-11-08 00:00:00	0,0,0,691200	0	0	0	0	0	0	0	0	0	0	0	0	 	 	0	0	0
10101101	1	0	1	1	1	101	钞票	日常所需的基础货币，具有多样的用途。	0	1120001,40000	3	1	1	80	1120005	5	0	0	0	0	0	2018-11-08 00:00:00	2099-11-08 00:00:00	0,0,0,691200	0	0	0	0	0	0	0	0	0	0	0	0	 	 	0	0	0
10101102	1	0	1	1	1	102	钞票	日常所需的基础货币，具有多样的用途。	0	1120001,60000	3	1	1	80	1120005	10	0	0	0	0	0	2018-11-08 00:00:00	2099-11-08 00:00:00	0,0,0,691200	0	0	0	0	0	0	0	0	0	0	0	0	 	 	0	0	0
10101103	1	0	1	1	1	103	钞票	日常所需的基础货币，具有多样的用途。	0	1120001,80000	3	1	1	80	1120005	12	0	0	0	0	0	2018-11-08 00:00:00	2099-11-08 00:00:00	0,0,0,691200	0	0	0	0	0	0	0	0	0	0	0	0	 	 	0	0	0
10101104	1	0	1	1	1	104	钞票	日常所需的基础货币，具有多样的用途。	0	1120001,100000	3	1	1	80	1120005	15	0	0	0	0	0	2018-11-08 00:00:00	2099-11-08 00:00:00	0,0,0,691200	0	0	0	0	0	0	0	0	0	0	0	0	 	 	0	0	0
10101105	1	0	1	1	1	105	钞票	日常所需的基础货币，具有多样的用途。	0	1120001,120000	3	1	1	80	1120005	20	0	0	0	0	0	2018-11-08 00:00:00	2099-11-08 00:00:00	0,0,0,691200	0	0	0	0	0	0	0	0	0	0	0	0	 	 	0	0	0
10101201	1	0	1	1	1	201	钞票	日常所需的基础货币，具有多样的用途。	0	1120001,56000	3	1	1	80	1120005	5	0	0	0	0	0	2018-11-08 00:00:00	2099-11-08 00:00:00	0,0,0,691200	0	0	0	0	0	0	0	0	0	0	0	0	 	 	0	0	0
10101202	1	0	1	1	1	202	钞票	日常所需的基础货币，具有多样的用途。	0	1120001,84000	3	1	1	80	1120005	10	0	0	0	0	0	2018-11-08 00:00:00	2099-11-08 00:00:00	0,0,0,691200	0	0	0	0	0	0	0	0	0	0	0	0	 	 	0	0	0
10101203	1	0	1	1	1	203	钞票	日常所需的基础货币，具有多样的用途。	0	1120001,112000	3	1	1	80	1120005	12	0	0	0	0	0	2018-11-08 00:00:00	2099-11-08 00:00:00	0,0,0,691200	0	0	0	0	0	0	0	0	0	0	0	0	 	 	0	0	0
10101204	1	0	1	1	1	204	钞票	日常所需的基础货币，具有多样的用途。	0	1120001,140000	3	1	1	80	1120005	15	0	0	0	0	0	2018-11-08 00:00:00	2099-11-08 00:00:00	0,0,0,691200	0	0	0	0	0	0	0	0	0	0	0	0	 	 	0	0	0
10101205	1	0	1	1	1	205	钞票	日常所需的基础货币，具有多样的用途。	0	1120001,168000	3	1	1	80	1120005	20	0	0	0	0	0	2018-11-08 00:00:00	2099-11-08 00:00:00	0,0,0,691200	0	0	0	0	0	0	0	0	0	0	0	0	 	 	0	0	0
10102001	1	0	1	1	2	1	特别招募券	协会指定的招募凭证，可凭此进行一次特别招募。	0	1120018,5	3	1	1	80	1120005	450	0	0	0	0	0	2018-11-08 00:00:00	2099-11-08 00:00:00	0,0,0,691200	0	0	0	0	0	0	0	0	0	0	0	0	 	 	0	0	0
10102002	1	0	1	1	2	2	特别招募券	协会指定的招募凭证，可凭此进行一次特别招募。	0	1120018,10	3	1	1	80	1120005	900	0	0	0	0	0	2018-11-08 00:00:00	2099-11-08 00:00:00	0,0,0,691200	0	0	0	0	0	0	0	0	0	0	0	0	 	 	0	0	0
10102003	1	0	1	1	2	3	特别招募券	协会指定的招募凭证，可凭此进行一次特别招募。	0	1120018,20	3	1	1	80	1120005	1800	0	0	0	0	0	2018-11-08 00:00:00	2099-11-08 00:00:00	0,0,0,691200	0	0	0	0	0	0	0	0	0	0	0	0	 	 	0	0	0
10103001	1	0	1	1	3	1	招募券	协会指定的招募凭证，可凭此进行一次角色招募。	0	1120017,3	3	1	1	80	1120005	90	0	0	0	0	0	2018-11-08 00:00:00	2099-11-08 00:00:00	0,0,0,691200	0	0	0	0	0	0	0	0	0	0	0	0	 	 	0	0	0
10103002	1	0	1	1	3	2	招募券	协会指定的招募凭证，可凭此进行一次角色招募。	0	1120017,5	3	1	1	80	1120005	150	0	0	0	0	0	2018-11-08 00:00:00	2099-11-08 00:00:00	0,0,0,691200	0	0	0	0	0	0	0	0	0	0	0	0	 	 	0	0	0
10103003	1	0	1	1	3	3	招募券	协会指定的招募凭证，可凭此进行一次角色招募。	0	1120017,10	3	1	1	80	1120005	300	0	0	0	0	0	2018-11-08 00:00:00	2099-11-08 00:00:00	0,0,0,691200	0	0	0	0	0	0	0	0	0	0	0	0	 	 	0	0	0
10103004	1	0	1	1	3	4	招募券	协会指定的招募凭证，可凭此进行一次角色招募。	0	1120017,1	3	1	1	80	1120001	25000	0	0	0	0	0	2018-11-08 00:00:00	2099-11-08 00:00:00	0,0,0,691200	0	0	0	0	0	0	0	0	0	0	0	0	 	 	0	0	0
10103005	1	0	1	1	3	5	招募券	协会指定的招募凭证，可凭此进行一次角色招募。	0	1120017,3	3	1	1	80	1120001	85000	0	0	0	0	0	2018-11-08 00:00:00	2099-11-08 00:00:00	0,0,0,691200	0	0	0	0	0	0	0	0	0	0	0	0	 	 	0	0	0
10103101	1	0	1	1	3	101	招募券	协会指定的招募凭证，可凭此进行一次角色招募。	0	1120017,3	3	1	1	80	1120005	90	0	0	0	0	0	2018-11-08 00:00:00	2099-11-08 00:00:00	0,0,0,691200	0	0	0	0	0	0	0	0	0	0	0	0	 	 	0	0	0
10103102	1	0	1	1	3	102	招募券	协会指定的招募凭证，可凭此进行一次角色招募。	0	1120017,5	3	1	1	80	1120005	150	0	0	0	0	0	2018-11-08 00:00:00	2099-11-08 00:00:00	0,0,0,691200	0	0	0	0	0	0	0	0	0	0	0	0	 	 	0	0	0
10103103	1	0	1	1	3	103	招募券	协会指定的招募凭证，可凭此进行一次角色招募。	0	1120017,10	3	1	1	80	1120005	300	0	0	0	0	0	2018-11-08 00:00:00	2099-11-08 00:00:00	2,0,0,691200	0	0	0	0	0	0	0	0	0	0	0	0	 	 	0	0	0
10103104	1	0	1	1	3	104	招募券	协会指定的招募凭证，可凭此进行一次角色招募。	0	1120017,1	3	1	1	80	1120001	75000	0	0	0	0	0	2018-11-08 00:00:00	2099-11-08 00:00:00	2,0,0,691200	0	0	0	0	0	0	0	0	0	0	0	0	 	 	0	0	0
10103105	1	0	1	1	3	105	招募券	协会指定的招募凭证，可凭此进行一次角色招募。	0	1120017,3	3	1	1	80	1120001	225000	0	0	0	0	0	2018-11-08 00:00:00	2099-11-08 00:00:00	2,0,0,691200	0	0	0	0	0	0	0	0	0	0	0	0	 	 	0	0	0
10103201	1	0	1	1	3	201	招募券	协会指定的招募凭证，可凭此进行一次角色招募。	0	1120017,3	3	1	1	80	1120005	90	0	0	0	0	0	2018-11-08 00:00:00	2099-11-08 00:00:00	2,0,0,691200	0	0	0	0	0	0	0	0	0	0	0	0	 	 	0	0	0
10103202	1	0	1	1	3	202	招募券	协会指定的招募凭证，可凭此进行一次角色招募。	0	1120017,5	3	1	1	80	1120005	150	0	0	0	0	0	2018-11-08 00:00:00	2099-11-08 00:00:00	2,0,0,691200	0	0	0	0	0	0	0	0	0	0	0	0	 	 	0	0	0
10103203	1	0	1	1	3	203	招募券	协会指定的招募凭证，可凭此进行一次角色招募。	0	1120017,10	3	1	1	80	1120005	300	0	0	0	0	0	2018-11-08 00:00:00	2099-11-08 00:00:00	0,0,0,691200	0	0	0	0	0	0	0	0	0	0	0	0	 	 	0	0	0
10103204	1	0	1	1	3	204	招募券	协会指定的招募凭证，可凭此进行一次角色招募。	0	1120017,1	3	1	1	80	1120001	125000	0	0	0	0	0	2018-11-08 00:00:00	2099-11-08 00:00:00	0,0,0,691200	0	0	0	0	0	0	0	0	0	0	0	0	 	 	0	0	0
10103205	1	0	1	1	3	205	招募券	协会指定的招募凭证，可凭此进行一次角色招募。	0	1120017,3	3	1	1	80	1120001	350000	0	0	0	0	0	2018-11-08 00:00:00	2099-11-08 00:00:00	0,0,0,691200	0	0	0	0	0	0	0	0	0	0	0	0	 	 	0	0	0
