id	type	outPutId	
1	2	1
2	2	2
3	2	9999
4	2	3
5	2	4
6	2	5
7	2	6
8	2	7
9	2	8
10	2	9
11	4	101
12	4	102
13	4	103
14	4	104
15	4	105
16	4	106
17	4	107
18	4	108
19	4	109
20	4	110
21	4	111
22	4	112
23	4	113
24	4	114
25	4	115
26	4	116
27	4	117
28	4	118
29	4	119
30	4	120
31	4	121
32	4	122
33	4	123
34	4	124
35	4	125
36	4	126
37	4	127
38	4	128
39	4	129
40	4	130
41	4	131
42	4	132
43	4	133
44	4	134
45	4	135
46	4	136
47	4	137
48	4	138
49	4	139
50	4	140
51	4	141
52	4	142
53	4	143
54	4	144
55	4	145
56	4	146
57	4	147
58	4	148
59	4	149
60	4	150
61	4	151
62	4	152
63	4	153
64	4	154
65	4	155
66	4	156
67	4	157
68	4	158
69	4	159
70	4	160
71	4	161
72	4	162
73	4	163
74	4	164
75	4	165
76	4	166
77	4	167
78	4	168
79	4	169
80	4	170
81	4	171
82	4	172
83	4	173
84	4	174
85	4	175
86	4	176
87	4	177
88	4	178
89	4	179
90	4	180
91	4	181
92	4	182
93	4	183
94	4	184
95	4	185
96	4	186
97	4	187
98	4	188
99	4	189
100	4	190
101	4	191
102	4	192
103	4	193
104	4	194
105	4	195
106	4	196
107	4	197
108	4	198
109	4	199
110	4	200
111	4	201
112	4	202
113	4	203
114	4	204
115	4	205
116	4	206
117	4	207
118	4	208
119	4	209
120	4	210
121	4	211
122	4	212
123	4	213
124	4	214
125	4	215
126	4	216
127	4	217
128	4	218
129	4	219
130	4	220
131	4	221
132	4	222
133	4	223
134	4	224
135	4	225
136	4	226
137	4	227
138	4	228
139	4	229
140	4	230
141	4	231
142	4	232
143	4	233
144	4	234
145	4	235
146	4	236
147	4	237
148	4	238
149	4	239
150	4	240
151	4	241
152	4	242
153	4	243
154	4	244
155	4	245
156	4	246
157	4	247
158	4	248
159	4	249
160	4	250
161	4	251
162	4	252
163	4	253
164	4	254
165	4	255
166	4	256
167	4	257
168	4	258
169	4	259
170	4	260
171	4	261
172	4	262
173	4	263
174	4	264
175	4	265
176	4	266
177	4	267
178	4	268
179	4	269
180	4	270
181	4	271
182	4	272
183	4	273
184	4	274
185	4	275
186	4	276
187	4	277
188	4	278
189	4	279
190	4	280
191	4	281
192	4	282
193	4	283
194	4	284
195	4	285
196	4	286
197	4	287
198	4	288
199	4	289
200	4	290
201	4	291
202	4	292
203	4	293
204	4	294
205	4	295
206	5	200010
207	5	200020
208	5	201010
209	5	201020
210	5	201030
211	5	201040
212	5	202010
213	5	202020
214	5	202030
215	5	202040
216	5	203010
217	5	203020
218	5	203030
219	5	203040
220	5	203050
221	5	204010
222	5	204020
223	5	204030
224	5	204040
225	5	204050
226	5	204060
227	5	205010
228	5	205020
229	5	205030
230	5	205040
231	5	205050
232	5	205060
233	5	206010
234	5	206020
235	5	206030
236	5	206040
237	5	206050
238	5	206060
239	5	207010
240	5	207020
241	5	207030
242	5	207040
243	5	207050
244	5	207060
245	5	208010
246	5	208020
247	5	208030
248	5	208040
249	5	208050
250	5	208060
251	5	209010
252	5	209020
253	5	209030
254	5	209040
255	5	209050
256	5	209060
257	5	210010
258	5	210020
259	5	210030
260	5	210040
261	5	210050
262	5	210060
263	5	211010
264	5	211020
265	5	211030
266	5	211040
267	5	211050
268	5	211060
269	5	212010
270	5	212020
271	5	212030
272	5	212040
273	5	212050
274	5	212060
275	5	213010
276	5	213020
277	5	213030
278	5	213040
279	5	213050
280	5	213060
281	5	214010
282	5	214020
283	5	214030
284	5	214040
285	5	214050
286	5	214060
287	5	215010
288	5	215020
289	5	215030
290	5	215040
291	5	215050
292	5	215060
293	5	216010
294	5	216020
295	5	216030
296	5	216040
297	5	216050
298	5	216060
299	5	217010
300	5	217020
301	5	217030
302	5	217040
303	5	217050
304	5	217060
305	5	218010
306	5	218020
307	5	218030
308	5	218040
309	5	218050
310	5	218060
311	5	219010
312	5	219020
313	5	219030
314	5	219040
315	5	219050
316	5	219060
317	5	220010
318	5	220020
319	5	220030
320	5	220040
321	5	220050
322	5	220060
323	5	221010
324	5	221020
325	5	221030
326	5	221040
327	5	221050
328	5	221060
329	5	222010
330	5	222020
331	5	222030
332	5	222040
333	5	222050
334	5	222060
335	5	223010
336	5	223020
337	5	223030
338	5	223040
339	5	223050
340	5	223060
341	5	224010
342	5	224020
343	5	224030
344	5	224040
345	5	224050
346	5	224060
347	5	225010
348	5	225020
349	5	225030
350	5	225040
351	5	225050
352	5	225060
353	5	226010
354	5	226020
355	5	226030
356	5	226040
357	5	226050
358	5	226060
359	5	227010
360	5	227020
361	5	227030
362	5	227040
363	5	227050
364	5	227060
365	5	228010
366	5	228020
367	5	228030
368	5	228040
369	5	228050
370	5	228060
371	5	229010
372	5	229020
373	5	229030
374	5	229040
375	5	229050
376	5	229060
377	5	230010
378	5	230020
379	5	230030
380	5	230040
381	5	230050
382	5	230060
383	7	501001
384	7	501002
385	7	501003
386	7	501004
387	7	501005
388	7	501006
389	7	501007
390	7	501008
391	7	501009
392	7	501010
393	8	502001
394	8	502002
395	8	502003
396	8	502004
397	8	502005
398	8	502006
399	8	502007
400	8	502008
401	8	502009
402	8	502010
403	8	502011
404	8	502012
405	8	502013
406	8	502014
407	8	502015
408	8	502016
409	8	502017
410	8	502018
411	8	502019
412	8	502020
413	6	503001
414	6	503002
415	6	503003
416	6	503004
417	6	503005
418	6	503006
419	6	503007
420	6	503008
421	6	503009
422	6	503010
423	6	503011
424	6	503012
425	6	503013
426	6	503014
427	6	503015
428	6	503016
429	6	503017
430	6	503018
431	6	503019
432	6	503020
433	10	200010
434	10	200020
435	10	201010
436	10	201020
437	10	201030
438	10	201040
439	10	202010
440	10	202020
441	10	202030
442	10	202040
443	10	203010
444	10	203020
445	10	203030
446	10	203040
447	10	203050
448	10	204010
449	10	204020
450	10	204030
451	10	204040
452	10	204050
453	10	204060
454	10	205010
455	10	205020
456	10	205030
457	10	205040
458	10	205050
459	10	205060
460	10	206010
461	10	206020
462	10	206030
463	10	206040
464	10	206050
465	10	206060
466	10	207010
467	10	207020
468	10	207030
469	10	207040
470	10	207050
471	10	207060
472	10	208010
473	10	208020
474	10	208030
475	10	208040
476	10	208050
477	10	208060
478	10	209010
479	10	209020
480	10	209030
481	10	209040
482	10	209050
483	10	209060
484	10	210010
485	10	210020
486	10	210030
487	10	210040
488	10	210050
489	10	210060
490	10	211010
491	10	211020
492	10	211030
493	10	211040
494	10	211050
495	10	211060
496	10	212010
497	10	212020
498	10	212030
499	10	212040
500	10	212050
501	10	212060
502	10	213010
503	10	213020
504	10	213030
505	10	213040
506	10	213050
507	10	213060
508	10	214010
509	10	214020
510	10	214030
511	10	214040
512	10	214050
513	10	214060
514	10	215010
515	10	215020
516	10	215030
517	10	215040
518	10	215050
519	10	215060
520	10	216010
521	10	216020
522	10	216030
523	10	216040
524	10	216050
525	10	216060
526	10	217010
527	10	217020
528	10	217030
529	10	217040
530	10	217050
531	10	217060
532	10	218010
533	10	218020
534	10	218030
535	10	218040
536	10	218050
537	10	218060
538	10	219010
539	10	219020
540	10	219030
541	10	219040
542	10	219050
543	10	219060
544	10	220010
545	10	220020
546	10	220030
547	10	220040
548	10	220050
549	10	220060
550	10	221010
551	10	221020
552	10	221030
553	10	221040
554	10	221050
555	10	221060
556	10	222010
557	10	222020
558	10	222030
559	10	222040
560	10	222050
561	10	222060
562	10	223010
563	10	223020
564	10	223030
565	10	223040
566	10	223050
567	10	223060
568	10	224010
569	10	224020
570	10	224030
571	10	224040
572	10	224050
573	10	224060
574	10	225010
575	10	225020
576	10	225030
577	10	225040
578	10	225050
579	10	225060
580	10	226010
581	10	226020
582	10	226030
583	10	226040
584	10	226050
585	10	226060
586	10	227010
587	10	227020
588	10	227030
589	10	227040
590	10	227050
591	10	227060
592	10	228010
593	10	228020
594	10	228030
595	10	228040
596	10	228050
597	10	228060
598	10	229010
599	10	229020
600	10	229030
601	10	229040
602	10	229050
603	10	229060
604	10	230010
605	10	230020
606	10	230030
607	10	230040
608	10	230050
609	10	230060
610	10	501001
611	10	501002
612	10	501003
613	10	501004
614	10	501005
615	10	501006
616	10	501007
617	10	501008
618	10	501009
619	10	501010
620	10	502001
621	10	502002
622	10	502003
623	10	502004
624	10	502005
625	10	502006
626	10	502007
627	10	502008
628	10	502009
629	10	502010
630	10	502011
631	10	502012
632	10	502013
633	10	502014
634	10	502015
635	10	502016
636	10	502017
637	10	502018
638	10	502019
639	10	502020
640	10	503001
641	10	503002
642	10	503003
643	10	503004
644	10	503005
645	10	503006
646	10	503007
647	10	503008
648	10	503009
649	10	503010
650	10	503011
651	10	503012
652	10	503013
653	10	503014
654	10	503015
655	10	503016
656	10	503017
657	10	503018
658	10	503019
659	10	503020
660	10	504101
661	10	504102
662	10	504103
663	10	504104
664	10	504105
665	10	504106
666	10	504107
667	10	504108
668	10	504109
669	10	504110
670	10	504111
671	10	504112
672	10	504113
673	10	504114
674	10	504115
675	10	504116
676	10	504117
677	10	504118
678	10	504119
679	10	504120
680	10	504201
681	10	504202
682	10	504203
683	10	504204
684	10	504205
685	10	504206
686	10	504207
687	10	504208
688	10	504209
689	10	504210
690	10	504301
691	10	504302
692	10	504303
693	10	504304
694	10	504305
695	10	504306
696	10	504307
697	10	504308
698	10	504309
699	10	504310
700	10	504311
701	10	504312
702	10	504313
703	10	504314
704	10	504315
705	10	504316
706	10	504317
707	10	504318
708	10	504319
709	10	504320
710	10	601001
711	10	601002
712	10	601003
713	10	602001
714	10	602002
715	10	602003
716	10	602004
717	10	603001
718	10	603002
719	10	603003
720	10	603004
721	10	604001
722	10	604002
723	10	604003
724	10	604004
725	10	915101
726	10	915102
727	10	915103
728	10	915104
729	10	915105
730	10	915106
731	10	915107
732	10	915108
733	10	915109
734	10	915110
735	10	915111
736	10	915112
737	10	915113
738	10	915114
739	10	915115
740	10	915116
741	10	915201
742	10	915202
743	10	915203
744	10	915204
745	10	915205
746	10	915206
747	10	915207
748	10	915208
749	10	915209
750	10	915210
751	10	915211
752	10	915212
753	10	915213
754	10	915214
755	10	915215
756	10	915216
757	10	915301
758	10	915302
759	10	915303
760	10	915304
761	10	915305
762	10	915306
763	10	915307
764	10	915308
765	10	915309
766	10	915310
767	10	915311
768	10	915312
769	10	915313
770	10	915314
771	10	915315
772	10	915316
773	10	300301
774	10	300302
775	10	300401
776	10	300402
777	10	300501
778	10	300502
779	10	300601
780	10	300602
781	10	300701
782	10	300702
783	10	300801
784	10	300802
785	10	300901
786	10	300902
787	10	301001
788	10	301002
789	10	405001
790	10	405002
791	10	405003
792	10	405004
793	10	405005
794	10	405006
795	10	400201
796	10	400202
