id	chapterMainId	missionId1	des1	redirectionId1	missionId2	des2	redirectionId2	missionId3	des3	redirectionId3	drop	dropShow	
202011	2	10020	上阵十字键	7	0	0	0	0	0	0	2020116	2020116
203031	3	10021	五号位上阵角色	7	0	0	0	0	0	0	2030316	2030316
204041	4	10030	通关任意演练中心	35	0	0	0	0	0	0	2040416	2040416
205041	5	10050	上阵六个角色	7	0	0	0	0	0	0	2050416	2050416
206041	6	10060	普通超市购买1次	3	0	0	0	0	0	0	2060416	2060416
207031	7	10070	通关一次模拟训练	17	0	0	0	0	0	0	2070316	2070316
208041	8	10080	怪人研究所10次	21	0	0	0	0	0	0	2080416	2080416
209041	9	10090	完成1次社团任务	5	0	0	0	0	0	0	2090416	2090416
210041	10	10100	完成埼玉家小游戏3次	13	0	0	0	0	0	0	2100416	2100416
211041	11	10110	通关英雄试炼5次	18	10111	使用埼玉卡片战斗10次	9	0	0	0	2110416	2110416
212041	12	10120	社团捐献2次	5	10121	情报交流赠送过1次碎片	5	0	0	0	2120416	2120416
213041	13	10130	制作10次料理	13	10131	埼玉家锻炼2次	13	0	0	0	2130416	2130416
214041	14	10140	英雄试炼20次	18	10141	3个角色装备了7个源核	18	0	0	0	2140416	2140416
215041	15	10150	通关英雄试炼30次	18	10151	拥有6个3级以上源核	18	0	0	0	2150416	2150416
216041	16	10160	道馆演武挑战27次	16	10161	完成6个道馆演武任务	16	0	0	0	2160416	2160416
217041	17	10170	通关英雄试炼4层	18	10171	拥有过21个以上绿色源核	18	0	0	0	2170416	2170416
218041	18	10180	通关正义角逐第三关	10	10181	解锁6个协同位置	2	0	0	0	2180416	2180416
219041	19	10190	英雄试炼40次	18	10191	拥有过21个以上6级源核	18	0	0	0	2190416	2190416
220041	20	10200	参与武道大会10次	19	10201	武道大会胜利5次	19	0	0	0	2200416	2200416
221041	21	10210	完成1次无人区探索	27	0	0	0	0	0	0	2210416	2210416
222041	22	10220	通关模拟训练11层	17	10221	拥有1个四星角色	17	0	0	0	2220416	2220416
223041	23	10230	完成所有日常任务4次	14	0	0	0	0	0	0	2230416	2230416
224041	24	10240	完成任意1关英雄物语	11	0	0	0	0	0	0	2240416	2240416
225041	25	10250	进行3次强者之梦	20	0	0	0	0	0	0	2250416	2250416
226041	26	10260	拥有过21个以上紫色源核	18	0	0	0	0	0	0	2260416	2260416
227041	27	10270	模拟训练250次	17	10271	拥有6个四星角色	17	0	0	0	2270416	2270416
228041	28	10280	拥有一个五星角色	17	0	0	0	0	0	0	2280416	2280416
229041	29	10290	拥有过21个以上9级源核	18	0	0	0	0	0	0	2290416	2290416
230041	30	10300	模拟训练300次	17	10301	拥有6个五星角色	17	0	0	0	2300416	2300416
