id	StageId	type	rewardShow	drop	word1	word2	outGradientColor	word3	word4	inGradientColor	word5	icon	popUp	popUpUIIcon	
1	201030	2	2203	2203	10	张特别招募券	ffaa00,ffea00	10	张特别招募券	ffea00,ffaa00	通关<size=28>1-3</size>可获得	349104002	0	349104005
2	202010	2	2203	2203	10	张特别招募券	ffaa00,ffea00	10	张特别招募券	ffea00,ffaa00	通关<size=28>2-1</size>可获得	349104002	0	349104005
3	203030	2	2203	2203	10	张特别招募券	ffaa00,ffea00	10	张特别招募券	ffea00,ffaa00	通关<size=28>3-3</size>可获得	349104002	0	349104005
4	204010	2	2203	2203	10	张特别招募券	ffaa00,ffea00	10	张特别招募券	ffea00,ffaa00	通关<size=28>4-1</size>可获得	349104002	0	349104005
5	205060	2	2203	2203	10	张特别招募券	ffaa00,ffea00	10	张特别招募券	ffea00,ffaa00	通关<size=28>5-6</size>可获得	349104002	0	349104005
6	207060	2	2203	2203	10	张特别招募券	ffaa00,ffea00	10	张特别招募券	ffea00,ffaa00	通关<size=28>7-6</size>可获得	349104002	0	349104005
7	209060	2	2203	2203	10	张特别招募券	ffaa00,ffea00	10	张特别招募券	ffea00,ffaa00	通关<size=28>9-6</size>可获得	349104002	0	349104005
8	211060	2	2203	2203	10	张特别招募券	ffaa00,ffea00	10	张特别招募券	ffea00,ffaa00	通关<size=28>11-6</size>可获得	349104002	0	349104005
9	213060	2	2203	2203	10	张特别招募券	ffaa00,ffea00	10	张特别招募券	ffea00,ffaa00	通关<size=28>13-6</size>可获得	349104002	0	349104005
10	215060	2	2203	2203	10	张特别招募券	ffaa00,ffea00	10	张特别招募券	ffea00,ffaa00	通关<size=28>15-6</size>可获得	349104002	0	349104005
