id	type	typePara	grade	school	group	sequence	name	des	icon	itemList	limitType	limitPara	levelLowerLimit	levelUpperLimit	moneyType	price	priceShow	PrePriceShow	priceStepValue	timeType	activityID	startTime	endTime	specialEndTime	isShowTime	sloganType	startTimeTips	startTimeWord	endTimeTips	groupId	batch	rechargeShopId	rechargeShopId1	tabshow	herocondition	rechargecondition	firstCharge	followupCharge	autoOpenGift	extraShowItemId	OpenServiceActivity	
40100001	2	2,0	4	1	0	1	基础应援礼盒	开启礼包获得随机10个基础应援物资	0	2110001,1	0	0	1	99	1120012	150	0	0	100	0	0	2018-11-08 00:00:00	2099-11-08 00:00:00	0,0,0,691200	1	0	0	 	0	0	0	0	0	0	0	0	 	 	0	0	0
40100002	2	2,0	4	1	0	2	高级应援礼盒	开启礼包获得随机5个高级应援物资	0	2110002,1	0	0	1	99	1120012	500	0	0	200	0	0	2018-11-08 00:00:00	2099-11-08 00:00:00	0,0,0,691200	1	0	0	 	0	0	0	0	0	0	0	0	 	 	0	0	0
40100003	2	2,0	4	1	0	3	S级英雄情报礼盒	开启礼包获得随机1个S英雄情报	0	2110003,1	0	0	1	99	1120012	2000	0	0	0	0	0	2018-11-08 00:00:00	2099-11-08 00:00:00	0,0,0,691200	1	0	0	 	0	0	0	0	0	0	0	0	 	 	0	0	0
40100004	2	2,1	4	1	0	4	A级英雄情报礼盒	开启礼包获得随机1个A英雄情报	0	2110004,1	0	0	1	99	1120012	1000	0	0	0	0	0	2018-11-08 00:00:00	2099-11-08 00:00:00	0,0,0,691200	1	0	0	 	0	0	0	0	0	0	0	0	 	 	0	0	0
40100005	2	2,2	4	1	0	5	B级英雄情报礼盒	开启礼包获得随机1个B英雄情报	0	2110005,1	0	0	1	99	1120012	500	0	0	0	0	0	2018-11-08 00:00:00	2099-11-08 00:00:00	0,0,0,691200	1	0	0	 	0	0	0	0	0	0	0	0	 	 	0	0	0
40100006	2	2,3	4	1	0	6	C级英雄情报礼盒	开启礼包获得随机1个C英雄情报	0	2110006,1	0	0	1	99	1120012	200	0	0	0	0	0	2018-11-08 00:00:00	2099-11-08 00:00:00	0,0,0,691200	1	0	0	 	0	0	0	0	0	0	0	0	 	 	0	0	0
40100008	2	2,0	4	1	0	7	每日福利包	开启礼包获得随机道具	0	2110008,1	1	-1	1	99	1120012	150	0	0	100	0	0	2018-11-08 00:00:00	2099-11-08 00:00:00	0,0,0,691200	1	0	0	 	0	0	0	0	0	0	0	0	 	 	0	0	0
40100009	2	2,0	4	1	0	8	每周福利包	开启礼包获得随机道具	0	2110009,1	2	-1	1	99	1120012	500	0	0	200	0	0	2018-11-08 00:00:00	2099-11-08 00:00:00	0,0,0,691200	1	0	0	 	0	0	0	0	0	0	0	0	 	 	0	0	0
20200007	4	0	2	2	0	3	60彩钻	付费钻石	340570113	 	0	0	1	99	1120111	60	6	6	0	0	0	2018-11-08 00:00:00	2099-11-08 00:00:00	0,0,0,691200	0	3	0	 	100	0	0	10001	0	0	0	0	 	 	0	0	0
20200008	4	0	2	2	0	3	300彩钻	付费钻石	340570102	 	0	0	1	99	1120111	300	30	30	0	0	0	2018-11-08 00:00:00	2099-11-08 00:00:00	0,0,0,691200	0	3	0	 	100	0	0	10002	0	0	0	0	 	 	0	0	0
